,x,y,"""note""","""date""","""heure"""
1,48.61987,2.42814,,03/07/2017,09:27
2,48.61984,2.42816,,03/07/2017,09:58
3,48.62585,2.42881,,03/07/2017,10:53
4,48.8453,2.42196,,03/07/2017,11:25
5,48.8399,2.65647,,03/07/2017,11:35
6,48.84083,2.67164,,03/07/2017,11:45
7,48.85557,2.77646,,03/07/2017,20:18
8,48.80215,2.42657,,03/07/2017,20:52
9,48.6198,2.42814,,03/07/2017,21:07
10,48.6198,2.42814,,04/07/2017,09:46
11,48.62536,2.42865,,04/07/2017,11:17
12,48.83965,2.65554,,04/07/2017,12:25
13,48.85554,2.77637,,04/07/2017,19:14
14,48.8552,2.77302,,04/07/2017,21:01
15,48.62578,2.42882,,05/07/2017,08:18
16,48.85529,2.77571,,05/07/2017,09:48
17,48.85348,2.77014,,05/07/2017,17:55
18,48.61978,2.42814,,05/07/2017,19:34
19,48.61984,2.42815,,06/07/2017,10:26
20,48.62834,2.42587,,06/07/2017,11:19
21,48.61981,2.42812,,06/07/2017,11:53
22,48.62187,2.42733,,06/07/2017,13:27
23,48.62689,2.42942,,06/07/2017,13:40
24,48.62109,2.42745,,06/07/2017,14:10
25,48.62851,2.42915,,06/07/2017,18:33
26,48.61982,2.42814,,06/07/2017,19:15
27,48.61981,2.42738,,07/07/2017,20:28
28,48.62287,2.42882,,07/07/2017,23:18
29,48.61986,2.42792,,07/07/2017,23:48
30,48.621,2.4276,,08/07/2017,08:15
31,48.84324,2.58118,,08/07/2017,09:44
32,48.85558,2.77545,,08/07/2017,10:00
33,48.6254,2.42755,,08/07/2017,14:11
34,48.62071,2.42758,,08/07/2017,14:16
35,48.61998,2.42798,,08/07/2017,18:15